bodeguita(1)^raghida,bodeguita(1)
nitrosamines^nitrosomines,nitrosamines^nitrosomines
dependent^independent^interdependent,independent
activated(1)^captivated^cultivated(1)^deactivated^inactivated,activated(1)^captivated^cultivated(1)
grandfatherly(0)^grandfatherly(1),grandfatherly(0)^grandfatherly(1)
gabrielsen(1)^gabrielson(1),gabrielsen(1)^gabrielson(1)
erotica^luxottica(1),erotica^luxottica(1)
establishment's^establishments^establishment's^establishments,establishment's^establishments^establishment's^establishments
ambrosine^ambrosini^rosine^rossini,ambrosine^ambrosini
druidism^methodism,druidism^methodism
cantankerous^rancorous,cantankerous
alethea^dorothea,alethea^dorothea
actuarial^adversarial^aerial^ariel^burial^malarial^mariel^secretarial,malarial
melatonin^serotonin,melatonin^serotonin
annunziata^juniata^mariotta^miata^nunziata^reatta^traviata,juniata^mariotta^nunziata^traviata
accumulation^adulation^annihilation^appalachian(1)^appellation^articulation^assimilation^calculation^cancellation^capitulation^coagulation^compilation^confabulation^congratulation^consolation^constellation^correlation^demodulation^deregulation^desolation^distillation^emulation^escalation^exhalation^extrapolation^formulation(0)^gastrulation^granulation^inhalation(0)^inhalation(1)^innoculation^inoculation^installation^insulation^isolation^jubilation^manipulation^miscalculation^modulation^mutilation^oscillation^overpopulation^overregulation^ovulation^population^recalculation^regulation^reregulation^revelation^self-congratulation^simulation^speculation^stimulation^stipulation^strangulation^tabulation^tribulation^vacillation^ventilation^ventilation^violation,adulation^appalachian(1)^appellation^calculation^cancellation^compilation^consolation^constellation^correlation^desolation^distillation^emulation^escalation^exhalation^formulation(0)^gastrulation^granulation^inhalation(0)^inhalation(1)^installation^insulation^isolation^jubilation^modulation^mutilation^oscillation^ovulation^population^regulation^revelation^simulation^speculation^stimulation^stipulation^strangulation^tabulation^tribulation^vacillation^ventilation^ventilation^violation
discovery(0)^recovery(1),discovery(0)^recovery(1)
judaism(0)^pharisaism,judaism(0)
criminalize^deinstitutionalize^denationalize^depersonalize(0)^fictionalize^institutionalize^internationalize(0)^internationalize(1)^marginalize^nationalize(0)^personalize^professionalize^rationalize^regionalize^renationalize,criminalize^fictionalize^marginalize^nationalize(0)^personalize^rationalize^regionalize
hlavacek(0)^hlavacek(1)^novacek^slovacek,hlavacek(1)
coincident^incident,coincident
defrancesco^difrancesco,defrancesco^difrancesco
calabria^sanabria,calabria^sanabria
education's^educations^education's^educations,education's^educations^education's^educations
contraception^self-deception,contraception^self-deception
collecting^recollecting(0)^recollecting(1)^selecting,recollecting(0)^recollecting(1)
intercession(0)^intercession(1),intercession(0)^intercession(1)
antibacterial^arterial^bacterial^biomaterial^cereal^ethereal^immaterial^imperial^managerial^material^serial^venereal,arterial^bacterial^ethereal^imperial^material^venereal
aeritalia^italia(1),aeritalia
delicately^intricately,delicately^intricately
adelphia's^philadelphia's,adelphia's
amerine^ferrini^gasperini^guerrini^perine^perini^severini^verine,amerine^gasperini^severini
demoralize^moralize,demoralize
apologists(1)^biologists(1)^endocrinologists(1)^entomologists(1)^gynecologists(1)^neurologists(1)^pathologists(1)^psychologists(1)^seismologists(1),apologists(1)^biologists(1)^neurologists(1)^pathologists(1)^psychologists(1)^seismologists(1)
landowski^levandowski^lewandowski,levandowski^lewandowski
impractical(1)^practical(1)^tactical,impractical(1)
fellini^michelini^pollini,michelini
caronna^mazzorana^parana,mazzorana
accusation(0)^alphabetization^americanization^authorization^canonization^christianization^colorization^communization^criminalization^decriminalization^dehumanization^deinstitutionalization^demilitarization^demobilization(1)^democratization^demonization^denuclearization^desalinization^destabilization^disorganization^dramatization^hospitalization^hybridization^immunization^ionization^islamization^legalization^localization^magnetization^marginalization^mechanization^mineralization^mischaracterization^mobilization(0)^modernization(0)^nationalization(0)^nationalization(1)^naturalization(0)^naturalization(1)^neutralization^optimization^organization^panelization^pasteurization^personalization^polarization(0)^politicization^polymerization^popularization^privatisation^privatization^realization^reorganization^revitalization^securitization^specialization^stabilization^sterilization(0)^synchronization^tabloidization^unionization^utilization^vaporization^victimization^visualization,accusation(0)^realization
berea^caesarea^cytherea^diarrhea^diarrhoea^galeria^galleria^gonorrhea^lagroceria(0)^lagroceria(1)^maria^orea^perea^pizzeria^samaria^santa-maria(0)^santa-maria(1)^urea^urrea,caesarea^cytherea^diarrhea^diarrhoea^galeria^galleria^gonorrhea^pizzeria^samaria
coverages(1)^porterages^stockbrokerages,coverages(1)^porterages
corruptible^interruptible(0)^interruptible(1),corruptible
homicidal^suicidal,homicidal^suicidal
crecelius^melius,crecelius
methodical(1)^periodical,methodical(1)
horrendously^tremendously(0)^tremendously(1),horrendously^tremendously(0)^tremendously(1)
diluzio^dimuzio^muzio^puzio,diluzio^dimuzio
mcmenamin^mcmennamin,mcmenamin^mcmennamin
interference(0)^interference(1)^noninterference,interference(0)^interference(1)
receptionists(0)^receptionists(1),receptionists(0)^receptionists(1)
dehydration^hydration^rehydration,dehydration^rehydration
giovanni's(0)^g'vanni's,giovanni's(0)^g'vanni's
chicanery^flanery^grainery,chicanery
experienced^inexperienced,experienced
comparative^imperative^narrative(1),comparative^imperative
aesthetically^alphabetically^apologetically^athletically^cosmetically^energetically^esthetically^genetically^hermetically(1)^hypothetically^magnetically(1)^parenthetically(1)^pathetically(1)^phonetically^poetically^sympathetically(1)^synthetically^theoretically(1),aesthetically^athletically^cosmetically^esthetically^genetically^hermetically(1)^magnetically(1)^pathetically(1)^phonetically^poetically^synthetically
sukiyaki^yoshiaki,sukiyaki^yoshiaki
acidification^adjudication^advocation^affrication^allocation^amplification^application^assocation^authentication^avocation^certification^cladification^clarification^classification^codification^collocation^communication^complication^convocation^decertification^dedication^deification^desiccation^detoxication^disqualification^diversification(0)^diversification(1)^domestication^duplication^edification^education(0)^equivocation^eradication^excommunication^explication^extrication^falsification^fortification^gasification^gratification^identification(0)^identification(1)^implication^indication^intensification^intoxication^invocation^justification^magnification^medication^misallocation^misapplication^miscommunication^modification^multiplication^notification^nullification^ossification^pacification^personification^pontification^prefabrication^prevarication^prognostication^provocation^purification^qualification^quantification^ramification^ratification^reallocation^recertification^reclassification^rectification^rededication^replication^reunification^revocation^russification(0)^russification(1)^sanctification^saponification^sophistication^suffocation^unification^verification^vilification^vindication,advocation^affrication^allocation^application^assocation^avocation^collocation^complication^convocation^dedication^desiccation^duplication^education(0)^explication^extrication^implication^indication^invocation^medication^provocation^replication^revocation^suffocation^vindication
accurately^commensurately(0)^commensurately(1)^deliberately(0)^desperately(0)^inaccurately^moderately^separately(0),accurately^desperately(0)^moderately^separately(0)
blepharisma^charisma,blepharisma
disincentives^incentives(0),disincentives
cananea^machinea^tanzania(1),cananea^machinea^tanzania(1)
impartially^partially(0),impartially
activities(1)^sensitivities,activities(1)
calderone^cerone^cerrone^ferrone^iavarone^leverone^macaroni^maroney^moroney^moroni^pepperoni^peroni^sciaroni^tucciarone,calderone^leverone^macaroni^pepperoni^sciaroni^tucciarone
aftermarket^hypermarket^supermarket,aftermarket^hypermarket^supermarket
discouraging(0)^encouraging(1),discouraging(0)^encouraging(1)
abbreviates^alleviates^deviates,abbreviates^alleviates
gentlewomen's(0)^gentlewomen's(1),gentlewomen's(0)^gentlewomen's(1)
alienated(1)^carbonated(1)^contaminated(1)^coordinated^culminated(1)^decaffeinated^decontaminated^denominated^discriminated(1)^eliminated(1)^emanated^exterminated^fascinated(1)^germinated^hallucinated^halogenated^hydrogenated(0)^hydrogenated(1)^hyphenated^impersonated^indoctrinated^marinated^opinionated^originated(1)^predominated^rejuvenated^renominated^resonated^subordinated^terminated(1)^uncoordinated^vaccinated,carbonated(1)^culminated(1)^emanated^fascinated(1)^germinated^hyphenated^marinated^resonated^terminated(1)^vaccinated
depasquale^dipasquale(0)^dipasquale(1),depasquale^dipasquale(0)^dipasquale(1)
agriculture^horticulture,agriculture^horticulture
bonomo^guantanamo^herronimo,guantanamo^herronimo
advantageous^contagious,advantageous
antone^antoni^bellantoni^cantone^dantoni^santone^santoni,bellantoni
inoffensive^offensive,inoffensive
determinant^permanent^semipermanent(0)^semipermanent(1)^semipermanent(2),determinant
endothermic^exothermic,endothermic^exothermic
mutation^permutation^refutation,permutation^refutation
antiballistic^ballistic^capitalistic^dualistic^fatalistic^feudalistic^idealistic^imperialistic^individualistic^jelisic^journalistic^legalistic^materialistic^monopolistic^moralistic^nationalistic(0)^nationalistic(1)^naturalistic(0)^naturalistic(1)^novelistic^paternalistic^pluralistic^pugilistic^realistic^ritualistic^sensationalistic^socialistic^surrealistic(1),dualistic^fatalistic^feudalistic^journalistic^legalistic^moralistic^nationalistic(1)^naturalistic(1)^novelistic^pluralistic^pugilistic^realistic^socialistic
alexopoulos^antonopoulos^christopoulos^demopoulos^eliopoulos^fotopoulos^georgopoulos^panagopoulos^petropoulos^stathopoulos^stavropoulos,christopoulos^demopoulos^fotopoulos^georgopoulos^petropoulos^stathopoulos^stavropoulos
barricaded(0)^barricaded(1),barricaded(0)^barricaded(1)
nonpacifists(2)^pacifists(2),nonpacifists(2)
desalination^destination(1)^nondiscrimination^recrimination^rumination,destination(1)^rumination
berardino^bernardino(1)^guardino^scardino,berardino^bernardino(1)
foodarama^panorama,foodarama^panorama
proliferates^vociferates,proliferates^vociferates
collection^predilection^recollection^selection,predilection^recollection
consequently(0)^eloquently^subsequently,consequently(0)^eloquently^subsequently
actuators(0)^actuators(1),actuators(0)^actuators(1)
analyzes^brutalizes^capitalizes^crystallizes^demobilizes^departmentalizes^equalizes^fertilizes^finalizes^formalizes^idolizes^immortalizes^institutionalizes^liberalizes(0)^liberalizes(1)^marginalizes^materializes^monopolizes^nationalizes(0)^nationalizes(1)^naturalizes(0)^naturalizes(1)^neutralizes^normalizes^paralyzes^penalizes(0)^penalizes(1)^personalizes^pluralizes^realizes(0)^specializes(1)^stabilizes(1)^sterilizes^symbolizes(1)^tantalizes(0)^trivializes(0)^trivializes(1)^utilizes,analyzes^brutalizes^crystallizes^equalizes^fertilizes^finalizes^formalizes^idolizes^liberalizes(1)^nationalizes(1)^naturalizes(1)^neutralizes^normalizes^paralyzes^penalizes(0)^penalizes(1)^pluralizes^realizes(0)^specializes(1)^stabilizes(1)^sterilizes^symbolizes(1)^tantalizes(0)^trivializes(1)^utilizes
defazio(1)^difazio^dorazio(1)^fazio(0),defazio(1)^difazio^dorazio(1)
criminalist's^criminalists(0)^internationalists(0)^internationalists(1)^nationalists(0),criminalist's^criminalists(0)^nationalists(0)
bernasconi^cascone,bernasconi
fanelli^filtrenelli^gianelli^giannelli^iannelli^mignanelli^rapanelli,filtrenelli^iannelli^mignanelli^rapanelli
confidentially(0)^essentially(0)^essentially(1)^eventually(1)^eventually(3)^exponentially(0)^potentially(0)^preferentially(1)^presidentially(1),essentially(0)^essentially(1)^eventually(1)^eventually(3)^potentially(0)
american(1)^transamerican^unamerican,american(1)
counteroffer(0)^counteroffer(1),counteroffer(0)^counteroffer(1)
biographers^choreographer's^choreographers^demographers^lexicographers^photographer's^photographers^pornographers,biographers^demographers^photographer's^photographers^pornographers
adia^amadea^badia^heradia^madia^odea,amadea^heradia
correcting^directing(0)^redirecting^resurrecting,redirecting^resurrecting
insignificant^significant(0)^significant(1),significant(0)^significant(1)
exhibited^prohibited,exhibited^prohibited
adventuresome(0)^adventuresome(1)^venturesome,adventuresome(0)^adventuresome(1)
instituting^reconstituting^substituting,instituting^substituting
elisabeth^elizabeth(1),elisabeth^elizabeth(1)
heterodyne^superheterodyne,heterodyne
alienating^assassinating^chlorinating^concatenating^contaminating^coordinating^culminating^decaffeinating^detonating^discriminating^disseminating^dominating^eliminating^emanating^exterminating^fascinating^hallucinating(0)^hydrogenating^hyphenating^illuminating^impersonating^incriminating^laminating^marinating^nominating^originating^predominating^procrastinating^rejuvenating^resonating^subordinating^terminating^urinating,chlorinating^culminating^detonating^dominating^emanating^fascinating^hyphenating^laminating^marinating^nominating^resonating^terminating^urinating
solicitude^vicissitude,solicitude^vicissitude
aniak^janiak^stefaniak^szczepaniak^urbaniak,stefaniak^szczepaniak^urbaniak
agitators^imitators,agitators^imitators
acidifies^dehumidifies^solidifies,acidifies^solidifies
chiavetta^lavetta,chiavetta
banalities^causalities^fatalities(1)^illegalities^legalities(0)^legalities(1)^localities^municipalities^nationalities^personalities^principalities,banalities^causalities^fatalities(1)^legalities(0)^legalities(1)^localities
curable^durable^incurable^nondurable^uninsurable,incurable^nondurable
adjudicate^judicate,adjudicate
century^midcentury^penitentiary,midcentury
deposited(1)^posited,deposited(1)
authorizing^categorizing^cauterizing^characterizing^circularizing^colorizing^computerizing^demilitarizing^depressurizing^glamorizing^memorizing^mesmerizing^mischaracterizing^pasteurizing^polarizing^popularizing^pressurizing^reauthorizing^satirizing^summarizing^temporizing^terrorizing^theorizing,authorizing^cauterizing^colorizing^glamorizing^memorizing^mesmerizing^pasteurizing^polarizing^pressurizing^satirizing^summarizing^temporizing^terrorizing^theorizing
linebarger(0)^winebarger,linebarger(0)^winebarger
delmonico^domanico^panico,delmonico^domanico
maneuvering^outmaneuvering,maneuvering
caroselli^roselli^rosselli,caroselli
amenities(1)^identities(1)^obscenities,amenities(1)^identities(1)^obscenities
iniquity^ubiquity,iniquity^ubiquity
